"Site","Age","Sex","Incidence","SE","LowerCI","UpperCI","Count","Population"
"Colorectal carcinoma (MSI-high, medullary subtype)","05-09 years","Male","0","~","0","0.003",0,112012583
"Colorectal carcinoma (MSI-high, medullary subtype)","05-09 years","Female","0","~","0","0.003",0,107143042
"Colorectal carcinoma (MSI-high, medullary subtype)","10-14 years","Male and female","0","~","0","0.002",0,228557404
"Colorectal carcinoma (MSI-high, medullary subtype)","10-14 years","Male","0","~","0","0.003",0,116939349
"Colorectal carcinoma (MSI-high, medullary subtype)","10-14 years","Female","0","~","0","0.003",0,111618055
"Colorectal carcinoma (MSI-high, medullary subtype)","15-19 years","Male and female","0","0","0","0.002",1,229160336
"Colorectal carcinoma (MSI-high, medullary subtype)","15-19 years","Male","0","~","0","0.003",0,117683875
"Colorectal carcinoma (MSI-high, medullary subtype)","15-19 years","Female","0.001","0.001","0","0.005",1,111476461
"Colorectal carcinoma (MSI-high, medullary subtype)","20-24 years","Male and female","0","0","0","0.002",1,229290703
"Colorectal carcinoma (MSI-high, medullary subtype)","20-24 years","Male","0","~","0","0.003",0,117600125
"Colorectal carcinoma (MSI-high, medullary subtype)","20-24 years","Female","0.001","0.001","0","0.005",1,111690578
"Colorectal carcinoma (MSI-high, medullary subtype)","25-29 years","Male and female","0.006","0.002","0.003","0.01",13,231301985
"Colorectal carcinoma (MSI-high, medullary subtype)","25-29 years","Male","0.007","0.002","0.003","0.013",8,117171061
"Colorectal carcinoma (MSI-high, medullary subtype)","25-29 years","Female","0.004","0.002","0.001","0.01",5,114130924
"Colorectal carcinoma (MSI-high, medullary subtype)","30-34 years","Male and female","0.01","0.002","0.007","0.016",24,230073908
"Colorectal carcinoma (MSI-high, medullary subtype)","30-34 years","Male","0.01","0.003","0.005","0.018",12,115938128
"Colorectal carcinoma (MSI-high, medullary subtype)","30-34 years","Female","0.011","0.003","0.005","0.018",12,114135780
"Colorectal carcinoma (MSI-high, medullary subtype)","35-39 years","Male and female","0.014","0.002","0.01","0.02",32,228762701
"Colorectal carcinoma (MSI-high, medullary subtype)","35-39 years","Male","0.02","0.004","0.013","0.03",23,114709436
"Colorectal carcinoma (MSI-high, medullary subtype)","35-39 years","Female","0.008","0.003","0.004","0.015",9,114053265
"Colorectal carcinoma (MSI-high, medullary subtype)","40-44 years","Male and female","0.013","0.002","0.009","0.019",30,227960237
"Colorectal carcinoma (MSI-high, medullary subtype)","40-44 years","Male","0.016","0.004","0.009","0.025",18,113631501
"Colorectal carcinoma (MSI-high, medullary subtype)","40-44 years","Female","0.01","0.003","0.005","0.018",12,114328736
"Colorectal carcinoma (MSI-high, medullary subtype)","45-49 years","Male and female","0.025","0.003","0.019","0.033",57,224982270
"Colorectal carcinoma (MSI-high, medullary subtype)","45-49 years","Male","0.027","0.005","0.018","0.038",30,111622077
"Colorectal carcinoma (MSI-high, medullary subtype)","45-49 years","Female","0.024","0.005","0.016","0.035",27,113360193
"Colorectal carcinoma (MSI-high, medullary subtype)","50-54 years","Male and female","0.031","0.004","0.024","0.039",67,216770042
"Colorectal carcinoma (MSI-high, medullary subtype)","50-54 years","Male","0.033","0.006","0.023","0.046",35,106853315
"Colorectal carcinoma (MSI-high, medullary subtype)","50-54 years","Female","0.029","0.005","0.02","0.041",32,109916727
"Colorectal carcinoma (MSI-high, medullary subtype)","55-59 years","Male and female","0.059","0.005","0.049","0.071",116,197177690
"Colorectal carcinoma (MSI-high, medullary subtype)","55-59 years","Male","0.051","0.007","0.038","0.067",49,96171628
