"Site","Age","Sex","Incidence","SE","LowerCI","UpperCI","Count","Population"
"Multiple myeloma","55-59 years","Female","9.228","0.096","9.042","9.417",9321,101006062
"Multiple myeloma","60-64 years","Male and female","16.858","0.101","16.662","17.057",28005,166118894
"Multiple myeloma","60-64 years","Male","19.883","0.158","19.575","20.195",15886,79896239
"Multiple myeloma","60-64 years","Female","14.055","0.128","13.806","14.308",12119,86222655
"Multiple myeloma","65-69 years","Male and female","25.067","0.137","24.798","25.337",33251,132650888
"Multiple myeloma","65-69 years","Male","30.191","0.22","29.761","30.625",18835,62386128
"Multiple myeloma","65-69 years","Female","20.517","0.171","20.183","20.854",14416,70264760
"Multiple myeloma","70-74 years","Male and female","32.739","0.178","32.391","33.09",33718,102989851
"Multiple myeloma","70-74 years","Male","39.954","0.292","39.384","40.53",18734,46889081
"Multiple myeloma","70-74 years","Female","26.709","0.218","26.283","27.14",14984,56100770
"Multiple myeloma","75-79 years","Male and female","40.712","0.23","40.263","41.165",31397,77119602
"Multiple myeloma","75-79 years","Male","50.724","0.39","49.963","51.494",16934,33384419
"Multiple myeloma","75-79 years","Female","33.069","0.275","32.533","33.613",14463,43735183
"Multiple myeloma","80-84 years","Male and female","45.045","0.287","44.485","45.61",24709,54854210
"Multiple myeloma","80-84 years","Male","58.064","0.514","57.061","59.08",12770,21992919
"Multiple myeloma","80-84 years","Female","36.332","0.333","35.683","36.989",11939,32861291
"Multiple myeloma","85-89 years","Male and female","44.099","0.365","43.386","44.821",14570,33038957
"Multiple myeloma","85-89 years","Male","60.888","0.718","59.489","62.312",7191,11810198
"Multiple myeloma","85-89 years","Female","34.759","0.405","33.971","35.562",7379,21228759
"Multiple myeloma","90+ years","Male and female","30.153","0.394","29.386","30.935",5861,19437568
"Multiple myeloma","90+ years","Male","45.885","0.904","44.131","47.691",2578,5618381
"Multiple myeloma","90+ years","Female","23.757","0.415","22.951","24.584",3283,13819187
"Multiple myeloma","Unknown","Male and female","~","~","~","~",0,0
"Multiple myeloma","Unknown","Male","~","~","~","~",0,0
"Multiple myeloma","Unknown","Female","~","~","~","~",0,0
"Soft tissue sarcomas","00 years","Male and female","0.372","0.029","0.316","0.434",160,43061201
"Soft tissue sarcomas","00 years","Male","0.427","0.044","0.345","0.523",94,22011981
"Soft tissue sarcomas","00 years","Female","0.314","0.039","0.243","0.399",66,21049220
"Soft tissue sarcomas","01-04 years","Male and female","0.348","0.014","0.321","0.377",602,172923682
"Soft tissue sarcomas","01-04 years","Male","0.389","0.021","0.349","0.433",344,88392817
"Soft tissue sarcomas","01-04 years","Female","0.305","0.019","0.269","0.345",258,84530865
"Soft tissue sarcomas","05-09 years","Male and female","0.257","0.011","0.236","0.279",563,219155625
"Soft tissue sarcomas","05-09 years","Male","0.284","0.016","0.254","0.317",318,112012583
"Soft tissue sarcomas","05-09 years","Female","0.229","0.015","0.201","0.259",245,107143042
"Soft tissue sarcomas","10-14 years","Male and female","0.345","0.012","0.321","0.37",788,228557404
"Soft tissue sarcomas","10-14 years","Male","0.362","0.018","0.328","0.398",423,116939349
"Soft tissue sarcomas","10-14 years","Female","0.327","0.017","0.294","0.362",365,111618055
"Soft tissue sarcomas","15-19 years","Male and female","0.458","0.014","0.431","0.487",1050,229160336
"Soft tissue sarcomas","15-19 years","Male","0.509","0.021","0.469","0.551",599,117683875
"Soft tissue sarcomas","15-19 years","Female","0.405","0.019","0.368","0.444",451,111476461
"Soft tissue sarcomas","20-24 years","Male and female","0.511","0.015","0.482","0.541",1172,229290703
"Soft tissue sarcomas","20-24 years","Male","0.563","0.022","0.521","0.607",662,117600125
"Soft tissue sarcomas","20-24 years","Female","0.457","0.02","0.418","0.498",510,111690578
"Soft tissue sarcomas","25-29 years","Male and female","0.592","0.016","0.561","0.624",1369,231301985
"Soft tissue sarcomas","25-29 years","Male","0.67","0.024","0.624","0.719",785,117171061
"Soft tissue sarcomas","25-29 years","Female","0.512","0.021","0.471","0.555",584,114130924
"Soft tissue sarcomas","30-34 years","Male and female","0.81","0.019","0.774","0.848",1864,230073908
"Soft tissue sarcomas","30-34 years","Male","0.917","0.028","0.863","0.974",1063,115938128
"Soft tissue sarcomas","30-34 years","Female","0.702","0.025","0.654","0.752",801,114135780
"Soft tissue sarcomas","35-39 years","Male and female","0.988","0.021","0.948","1.03",2260,228762701
"Soft tissue sarcomas","35-39 years","Male","1.082","0.031","1.023","1.144",1241,114709436
"Soft tissue sarcomas","35-39 years","Female","0.893","0.028","0.839","0.95",1019,114053265
"Soft tissue sarcomas","40-44 years","Male and female","1.299","0.024","1.253","1.347",2962,227960237
"Soft tissue sarcomas","40-44 years","Male","1.456","0.036","1.387","1.528",1655,113631501
"Soft tissue sarcomas","40-44 years","Female","1.143","0.032","1.082","1.207",1307,114328736
"Soft tissue sarcomas","45-49 years","Male and female","1.672","0.027","1.619","1.726",3761,224982270
"Soft tissue sarcomas","45-49 years","Male","1.829","0.04","1.751","1.91",2042,111622077
"Soft tissue sarcomas","45-49 years","Female","1.516","0.037","1.446","1.59",1719,113360193
"Soft tissue sarcomas","50-54 years","Male and female","2.177","0.032","2.115","2.24",4719,216770042
"Soft tissue sarcomas","50-54 years","Male","2.412","0.048","2.319","2.507",2577,106853315
"Soft tissue sarcomas","50-54 years","Female","1.949","0.042","1.867","2.033",2142,109916727
"Soft tissue sarcomas","55-59 years","Male and female","2.762","0.037","2.69","2.837",5447,197177690
"Soft tissue sarcomas","55-59 years","Male","3.188","0.058","3.076","3.303",3066,96171628
"Soft tissue sarcomas","55-59 years","Female","2.357","0.048","2.264","2.454",2381,101006062
"Soft tissue sarcomas","60-64 years","Male and female","3.552","0.046","3.462","3.644",5901,166118894
"Soft tissue sarcomas","60-64 years","Male","4.274","0.073","4.132","4.42",3415,79896239
"Soft tissue sarcomas","60-64 years","Female","2.883","0.058","2.771","2.999",2486,86222655
"Soft tissue sarcomas","65-69 years","Male and female","4.534","0.058","4.42","4.65",6014,132650888
"Soft tissue sarcomas","65-69 years","Male","5.53","0.094","5.347","5.718",3450,62386128
"Soft tissue sarcomas","65-69 years","Female","3.649","0.072","3.509","3.793",2564,70264760
"Soft tissue sarcomas","70-74 years","Male and female","5.651","0.074","5.507","5.798",5820,102989851
"Soft tissue sarcomas","70-74 years","Male","7.27","0.125","7.028","7.519",3409,46889081
"Soft tissue sarcomas","70-74 years","Female","4.298","0.088","4.128","4.473",2411,56100770
"Soft tissue sarcomas","75-79 years","Male and female","6.923","0.095","6.739","7.111",5339,77119602
"Soft tissue sarcomas","75-79 years","Male","9.241","0.166","8.918","9.573",3085,33384419
"Soft tissue sarcomas","75-79 years","Female","5.154","0.109","4.943","5.371",2254,43735183
"Soft tissue sarcomas","80-84 years","Male and female","8.025","0.121","7.79","8.266",4402,54854210
"Soft tissue sarcomas","80-84 years","Male","11.413","0.228","10.971","11.868",2510,21992919
"Soft tissue sarcomas","80-84 years","Female","5.758","0.132","5.501","6.023",1892,32861291
"Soft tissue sarcomas","85-89 years","Male and female","8.75","0.163","8.434","9.075",2891,33038957
"Soft tissue sarcomas","85-89 years","Male","13.785","0.342","13.123","14.471",1628,11810198
"Soft tissue sarcomas","85-89 years","Female","5.949","0.167","5.626","6.287",1263,21228759
"Soft tissue sarcomas","90+ years","Male and female","7.882","0.201","7.492","8.286",1532,19437568
"Soft tissue sarcomas","90+ years","Male","12.815","0.478","11.896","13.786",720,5618381
"Soft tissue sarcomas","90+ years","Female","5.876","0.206","5.479","6.294",812,13819187
"Soft tissue sarcomas","Unknown","Male and female","~","~","~","~",0,0
"Soft tissue sarcomas","Unknown","Male","~","~","~","~",0,0
"Soft tissue sarcomas","Unknown","Female","~","~","~","~",0,0
